continent,total_death_count,percent_population_died
"South America",571662,0.5994781123264982
Europe,169948,0.3110135761126667
"North America",624257,0.19426328389963102
Africa,78377,0.18871918865640636
Asia,432519,0.16374312984514341
Oceania,972,0.04607092021364413
