location,population,higest_infection_count,percent_population_infected
Bhutan,771612,2577,0.33397614345033516
Cameroon,26545864,82454,0.31060959251505244
Vietnam,97338583,302101,0.310361000426727
Malawi,19129955,58861,0.30769021673077646
Egypt,102334403,285700,0.279182749519729
Guinea-Bissau,1967998,5206,0.2645327891593386
Ethiopia,114963583,291803,0.25382211686982653
Oceania,42677809,104154,0.24404720495375007
Congo,5518092,13398,0.2428013161070892
"Central African Republic",4829764,11251,0.23295134089367514
Togo,8278737,18605,0.224732347458314
Brunei,437483,946,0.2162369737795526
Guinea,13132792,28308,0.21555203189085764
Uganda,45741000,97294,0.2127063247414792
"Cote d'Ivoire",26378275,53089,0.20126031743925638
"Papua New Guinea",8947027,17832,0.19930642882825772
Eritrea,3546427,6611,0.18641297283152874
Haiti,11402533,20556,0.18027573347079986
Tajikistan,9537642,16275,0.17063966124960445
Grenada,112519,188,0.16708289266701623
Australia,25499881,41521,0.1628282108453761
"Hong Kong",7496988,12042,0.16062450680193166
Nicaragua,6624554,10251,0.1547424928531038
Madagascar,27691019,42832,0.1546783092380963
Syria,17500657,26554,0.15173144642512565
Laos,7275556,11029,0.15158978915150953
Angola,32866268,45175,0.1374509573158717
Liberia,5057677,5459,0.10793492743803132
Somalia,15893219,16535,0.10403808064307174
"South Sudan",11193729,11223,0.10026149462792962
Nigeria,206139587,183444,0.0889901850826935
Sudan,43849269,37616,0.08578478240994165
Burundi,11890781,10198,0.08576392080553835
Benin,12123198,10183,0.08399598851722129
"Sierra Leone",7976985,6346,0.07955386652977284
Mali,20250834,14714,0.07265873593156706
Taiwan,23816775,15891,0.06672187985149124
"Burkina Faso",20903278,13680,0.06544428103573038
"New Zealand",4822233,2937,0.060905393828958494
"Democratic Republic of Congo",89561404,53620,0.05986953933861957
Chad,16425859,4984,0.030342400966670905
Yemen,29825968,7372,0.024716716654426776
Niger,24206636,5741,0.0237166370411816
"Marshall Islands",59194,4,0.006757441632597898
China,1439323774,94609,0.006573156207728978
"Solomon Islands",686878,20,0.002911725226313843
Tanzania,59734213,1367,0.0022884707629779936
Kiribati,119446,2,0.0016743967985533212
Samoa,198410,3,0.0015120205634796633
Vanuatu,307150,4,0.001302295295458245
"Micronesia (country)",115021,1,0.0008694064562123438
Anguilla,15002,NULL,NULL
Aruba,106766,NULL,NULL
Bermuda,62273,NULL,NULL
"Bonaire Sint Eustatius and Saba",26221,NULL,NULL
"British Virgin Islands",30237,NULL,NULL
"Cayman Islands",65720,NULL,NULL
"Cook Islands",17564,NULL,NULL
Curacao,164100,NULL,NULL
"Faeroe Islands",48865,NULL,NULL
"Falkland Islands",3483,NULL,NULL
"French Polynesia",280904,NULL,NULL
